model.name,model.stage,model.seq_len_inference_prefill,hardware.name,hardware.num_chips,batch_size,vision_time_ms,vlm_time_ms,action_time_ms,e2e_time_ms,vision_boundness,vlm_boundness,action_boundness,vision_op_intensity,vlm_op_intensity,action_op_intensity
pi-0-L,e2e,256,RTX_4090,1,4,43.668025767653674,259.32491931151515,75.6080039273956,378.6009490065644,Comp,Comp,Comp,394.6534518675496,561.1032506281308,135.86885396586968
pi-0-XL,e2e,256,A100_80GB,1,1,5.773658676953761,66.74589538461538,46.961134957666985,119.48068901923612,Comp,Comp,Mem,394.6534518675496,600.136004610951,49.5043010813473
pi-0-XL,e2e,256,B100,1,1,1.063965124812381,11.964762007921626,12.172778447469074,25.201505580203083,Comp,Comp,Mem,394.6534518675496,600.136004610951,49.5043010813473
pi-0-XL,e2e,256,H100,1,1,1.8897943465477467,21.102536395958452,28.690120474023004,51.6824512165292,Comp,Comp,Mem,394.6534518675496,600.136004610951,49.5043010813473
pi-0-XL,e2e,256,Jetson_AGX_Thor,1,1,14.348958333333332,110.4595043041088,352.8536469848068,477.6621096222489,Mem,Mem,Mem,394.6534518675496,600.136004610951,49.5043010813473
pi-0-XL,e2e,256,Jetson_AGX_Thor,1,2,20.885416666666668,133.3900734230324,379.28223609924316,533.5577261889422,Mem,Mem,Mem,518.1971411478261,921.4477592920354,88.36150996997584
pi-0-XL,e2e,256,Jetson_AGX_Thor,1,4,33.958333333333336,221.93651484421295,432.13941432811595,688.0342625056622,Mem,Comp,Mem,614.3574353814432,1258.2912,145.44217699582697
pi-0-XL,e2e,256,Jetson_AGX_Thor,1,8,60.104166666666664,443.8730296884259,537.8537707858616,1041.8309671409543,Mem,Comp,Mem,677.1894458181818,1258.2912,214.83178923936276
pi-0-XL,e2e,256,Jetson_AGX_Thor,1,16,112.39583333333333,887.7460593768518,749.2824837013528,1749.424376411538,Mem,Comp,Mem,713.6846854131736,1258.2912,282.1340395557906
pi-0-XL,e2e,256,Jetson_AGX_Thor,1,32,216.97916666666666,1775.4921187537036,1209.676103450159,3202.1473888705295,Mem,Comp,Mem,733.448261316923,1258.2912,334.5354805408621
pi-0-XL,e2e,256,Jetson_AGX_Thor,1,64,426.14583333333337,3550.984237507407,2346.110019400318,6323.240090241059,Mem,Comp,Mem,743.7462868268329,1258.2912,368.7829581751476
pi-0-XL,e2e,256,A100_80GB,1,2,11.547317353907522,133.49179076923076,50.69776494966451,195.73687307280278,Comp,Comp,Mem,394.6534518675496,600.136004610951,88.36150996997584
pi-0-XL,e2e,256,A100_80GB,1,4,23.094634707815043,266.9835815384615,74.11717888783855,364.1953951341151,Comp,Comp,Comp,394.6534518675496,600.136004610951,145.44217699582697
pi-0-XL,e2e,256,B100,1,8,8.511720998499047,95.71809606337301,29.58055997966115,133.8103770415332,Comp,Comp,Comp,394.6534518675496,600.136004610951,214.83178923936276
pi-0-XL,e2e,256,B100,1,2,2.127930249624762,23.929524015843253,13.328711191813149,39.386165457281166,Comp,Comp,Mem,394.6534518675496,600.136004610951,88.36150996997584
pi-0-XL,e2e,256,B100,1,4,4.255860499249524,47.859048031686505,15.640576680501301,67.75548521143733,Comp,Comp,Mem,394.6534518675496,600.136004610951,145.44217699582697
pi-0-XL,e2e,256,H100,1,8,15.118354772381974,168.82029116766762,55.22609625458606,239.16474219463564,Comp,Comp,Mem,394.6534518675496,600.136004610951,214.83178923936276
pi-0-XL,e2e,256,H100,1,2,3.7795886930954934,42.205072791916905,31.071355686851987,77.05601717186438,Comp,Comp,Mem,394.6534518675496,600.136004610951,88.36150996997584
pi-0-XL,e2e,256,H100,1,4,7.559177386190987,84.41014558383381,35.83382611250995,127.80314908253474,Comp,Comp,Mem,394.6534518675496,600.136004610951,145.44217699582697
pi-0-XL,e2e,256,Jetson_AGX_Thor,1,128,852.2916666666667,7101.968475014814,4629.360602948784,12583.620744630265,Mem,Comp,Mem,743.7462868268329,1258.2912,388.678073024116
pi-0-XXL,e2e,256,B100,1,1,1.063965124812381,63.54250722742857,39.63758680555556,104.24405915779651,Comp,Comp,Mem,394.6534518675496,681.9538062553662,52.75807019038205
pi-0-XXL,e2e,256,B100,1,8,8.511720998499047,508.3400578194286,82.44376090482639,599.295539722754,Comp,Comp,Comp,394.6534518675496,681.9538062553662,300.81796910884725
pi-0-XXL,e2e,256,B100,1,2,2.127930249624762,127.08501445485714,40.99392361111111,170.20686831559303,Comp,Comp,Mem,394.6534518675496,681.9538062553662,99.77135764222191
pi-0-XXL,e2e,256,B100,1,4,4.255860499249524,254.1700289097143,43.706597222222214,302.13248663118605,Comp,Comp,Mem,394.6534518675496,681.9538062553662,179.9482940045004
